id,parameters.insulin,parameters.IR_total,parameters.GLUT4_total,parameters.diabetes,tspan,tags[]
base_ins_3,1.00E-03,,,,10,titr
base_ins_25,3.16E-03,,,,10,titr
base_ins_2,1.00E-02,,,,10,titr
base_ins_15,3.16E-02,,,,10,titr
base_ins_1,1.00E-01,,,,10,titr
base_ins_05,3.16E-01,,,,10,titr
base_ins0,1.00E+00,,,,10,titr
base_ins05,3.16E+00,,,,10,titr
base_ins1,1.00E+01,,,,10,titr
base_ins15,3.16E+01,,,,10,titr
base_ins2,1.00E+02,,,,10,titr
ir_ins_3,1.00E-03,55,50,0.15,10,titr
ir_ins_25,3.16E-03,55,50,0.15,10,titr
ir_ins_2,1.00E-02,55,50,0.15,10,titr
ir_ins_15,3.16E-02,55,50,0.15,10,titr
ir_ins_1,1.00E-01,55,50,0.15,10,titr
ir_ins_05,3.16E-01,55,50,0.15,10,titr
ir_ins0,1.00E+00,55,50,0.15,10,titr
ir_ins05,3.16E+00,55,50,0.15,10,titr
ir_ins1,1.00E+01,55,50,0.15,10,titr
ir_ins15,3.16E+01,55,50,0.15,10,titr
ir_ins2,1.00E+02,55,50,0.15,10,titr
